order_id,order_date,productI_id,product_name,category,quantity,unit_price,cost_per_unit,discount,customer_type,payment_mode
ORD0001,5/17/2024,P003,Veg Sandwich,Meals,4,60,35,6.28,New,Wallet
ORD0002,9/13/2024,P004,Chocolate Bar,Snacks,6,25,10,8.61,Returning,Wallet
ORD0003,4/16/2024,P002,Potato Chips,Snacks,4,40,20,13.98,New,Card
ORD0004,3/21/2024,P005,Coffee,Beverages,8,50,25,16.28,New,UPI
ORD0005,12/25/2024,P004,Chocolate Bar,Snacks,5,25,10,6.89,Returning,Card
ORD0006,12/21/2024,P002,Potato Chips,Snacks,1,40,20,9.3,New,Wallet
ORD0007,1/23/2024,P001,Cola Drink,Beverages,4,30,15,23.17,Returning,Wallet
ORD0008,1/11/2024,P001,Cola Drink,Beverages,4,30,15,4.81,New,Card
ORD0009,4/8/2024,P005,Coffee,Beverages,4,50,25,3.17,Returning,Wallet
ORD0010,3/5/2024,P005,Coffee,Beverages,5,50,25,15.56,New,UPI
ORD0011,9/14/2024,P001,Cola Drink,Beverages,4,30,15,21.65,New,UPI
ORD0012,9/24/2024,P002,Potato Chips,Snacks,6,40,20,0.02,New,Card
ORD0013,5/21/2024,P001,Cola Drink,Beverages,1,30,15,17.51,Returning,Cash
ORD0014,9/27/2024,P004,Chocolate Bar,Snacks,2,25,10,19.25,Returning,Card
ORD0015,1/7/2024,P001,Cola Drink,Beverages,3,30,15,18.13,New,UPI
ORD0016,5/21/2024,P005,Coffee,Beverages,6,50,25,22.03,Returning,Card
ORD0017,4/3/2024,P005,Coffee,Beverages,3,50,25,19.56,Returning,Cash
ORD0018,2/1/2024,P005,Coffee,Beverages,2,50,25,12.89,Returning,Cash
ORD0019,10/10/2024,P003,Veg Sandwich,Meals,7,60,35,0.21,Returning,Card
ORD0020,3/4/2024,P001,Cola Drink,Beverages,1,30,15,6.9,Returning,UPI
ORD0021,10/12/2024,P001,Cola Drink,Beverages,5,30,15,9.09,New,Card
ORD0022,5/11/2024,P005,Coffee,Beverages,1,50,25,19.94,New,Wallet
ORD0023,9/14/2024,P002,Potato Chips,Snacks,8,40,20,1.87,Returning,Cash
ORD0024,12/26/2024,P003,Veg Sandwich,Meals,1,60,35,10.73,New,Card
ORD0025,6/7/2024,P001,Cola Drink,Beverages,2,30,15,2.98,New,UPI
ORD0026,2/29/2024,P002,Potato Chips,Snacks,3,40,20,5.81,New,Cash
ORD0027,10/31/2024,P002,Potato Chips,Snacks,4,40,20,8.55,Returning,UPI
ORD0028,5/16/2024,P001,Cola Drink,Beverages,5,30,15,12.32,Returning,Wallet
ORD0029,6/16/2024,P001,Cola Drink,Beverages,6,30,15,2.41,New,Cash
ORD0030,5/17/2024,P005,Coffee,Beverages,6,50,25,14.14,Returning,Card
ORD0031,7/14/2024,P005,Coffee,Beverages,2,50,25,16.97,New,UPI
ORD0032,3/1/2024,P003,Veg Sandwich,Meals,7,60,35,7.05,Returning,Card
ORD0033,12/29/2024,P003,Veg Sandwich,Meals,3,60,35,24.15,New,UPI
ORD0034,2/4/2024,P005,Coffee,Beverages,3,50,25,9.02,New,Card
ORD0035,10/17/2024,P005,Coffee,Beverages,8,50,25,19.59,Returning,Wallet
ORD0036,8/17/2024,P002,Potato Chips,Snacks,1,40,20,22.3,Returning,Wallet
ORD0037,8/23/2024,P003,Veg Sandwich,Meals,4,60,35,0.12,Returning,Wallet
ORD0038,10/29/2024,P001,Cola Drink,Beverages,5,30,15,23.82,New,UPI
ORD0039,3/25/2024,P005,Coffee,Beverages,1,50,25,13.34,New,Card
ORD0040,7/3/2024,P005,Coffee,Beverages,5,50,25,4.94,Returning,Wallet
ORD0041,4/30/2024,P003,Veg Sandwich,Meals,3,60,35,5.81,New,UPI
ORD0042,12/25/2024,P004,Chocolate Bar,Snacks,8,25,10,12.01,New,Card
ORD0043,11/26/2024,P003,Veg Sandwich,Meals,4,60,35,15.07,New,Wallet
ORD0044,1/8/2024,P001,Cola Drink,Beverages,2,30,15,10.9,Returning,Cash
ORD0045,5/26/2024,P004,Chocolate Bar,Snacks,2,25,10,17.42,Returning,Cash
ORD0046,12/31/2024,P005,Coffee,Beverages,4,50,25,11.64,New,Cash
ORD0047,1/3/2024,P003,Veg Sandwich,Meals,6,60,35,23.76,New,Card
ORD0048,3/26/2024,P004,Chocolate Bar,Snacks,6,25,10,24.48,Returning,UPI
ORD0049,4/28/2024,P003,Veg Sandwich,Meals,7,60,35,12.92,New,Wallet
ORD0050,5/16/2024,P001,Cola Drink,Beverages,1,30,15,23.56,New,UPI
ORD0051,3/22/2024,P003,Veg Sandwich,Meals,1,60,35,16.14,New,Card
ORD0052,12/24/2024,P001,Cola Drink,Beverages,7,30,15,11.84,New,Card
ORD0053,10/24/2024,P003,Veg Sandwich,Meals,6,60,35,20.52,Returning,UPI
ORD0054,6/28/2024,P001,Cola Drink,Beverages,4,30,15,14.44,New,UPI
ORD0055,10/19/2024,P002,Potato Chips,Snacks,1,40,20,16.29,New,Wallet
ORD0056,4/21/2024,P001,Cola Drink,Beverages,3,30,15,19.99,New,Cash
ORD0057,1/22/2024,P004,Chocolate Bar,Snacks,1,25,10,4.94,Returning,UPI
ORD0058,12/11/2024,P001,Cola Drink,Beverages,7,30,15,9.75,Returning,Cash
ORD0059,3/17/2024,P001,Cola Drink,Beverages,4,30,15,15.32,Returning,Card
ORD0060,3/15/2024,P003,Veg Sandwich,Meals,7,60,35,2.12,Returning,Cash
ORD0061,8/18/2024,P003,Veg Sandwich,Meals,5,60,35,19.92,New,Wallet
ORD0062,3/5/2024,P005,Coffee,Beverages,3,50,25,22.93,Returning,Wallet
ORD0063,12/7/2024,P001,Cola Drink,Beverages,6,30,15,2.92,Returning,Wallet
ORD0064,4/12/2024,P003,Veg Sandwich,Meals,3,60,35,0.22,New,UPI
ORD0065,5/14/2024,P001,Cola Drink,Beverages,7,30,15,11.46,Returning,Cash
ORD0066,7/25/2024,P004,Chocolate Bar,Snacks,3,25,10,10.94,New,Card
ORD0067,4/11/2024,P001,Cola Drink,Beverages,6,30,15,2.06,Returning,Card
ORD0068,7/24/2024,P004,Chocolate Bar,Snacks,2,25,10,13.16,New,UPI
ORD0069,9/1/2024,P002,Potato Chips,Snacks,6,40,20,23.19,New,UPI
ORD0070,2/2/2024,P004,Chocolate Bar,Snacks,1,25,10,12.14,New,Card
ORD0071,12/22/2024,P002,Potato Chips,Snacks,8,40,20,13.84,Returning,Wallet
ORD0072,1/27/2024,P002,Potato Chips,Snacks,2,40,20,3.67,New,UPI
